title,author,pub_year,word_count,description,cover_image_url
Pride and Prejudice,Jane Austen,1813,156644,"Pride and Prejudice is an 1813 novel of manners by Jane Austen. The novel follows the character development of Elizabeth Bennet, the dynamic protagonist of the book who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness.",https://cdn.penguin.co.uk/dam-assets/books/9780141199078/9780141199078-jacket-large.jpg
To Kill a Mockingbird,Harper Lee,1960,100388,"To Kill a Mockingbird is both a young girl's coming-of-age story and a darker drama about the roots and consequences of racism and prejudice, probing how good and evil can coexist within a single community or individual.",https://cdn.penguin.co.uk/dam-assets/books/9781784752637/9781784752637-jacket-large.jpg
The Great Gatsby,F. Scott Fitzgerald,1925,47094,"The Great Gatsby, Third novel by American author F. Scott Fitzgerald, published in 1925. Set in Jazz Age New York, it tells the tragic story of Jay Gatsby, a self-made millionaire, and his pursuit of Daisy Buchanan, a wealthy young woman whom he loved in his youth.",https://cdn.penguin.co.uk/dam-assets/books/9780141182636/9780141182636-jacket-large.jpg
One Hundred Years of Solitude,Gabriel Garcia,1967,144739,"This is the author's epic tale of seven generations of the Buendía family that also spans a hundred years of turbulent Latin American history, from the postcolonial 1820s to the 1920s. Patriarch José Arcadio Buendía builds the utopian city of Macondo in the middle of a swamp.",https://cdn.penguin.co.uk/dam-assets/books/9780241968581/9780241968581-jacket-large.jpg
In Cold Blood,Truman Capote,1965,121890,"On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killers, he generates both mesmerizing suspense and astonishing empathy. In Cold Blood is a work that transcends its moment, yielding poignant insights into the nature of American violence.",https://cdn.penguin.co.uk/dam-assets/books/9780141182575/9780141182575-jacket-large.jpg
Wide Sargasso Sea,Jean Rhys,1966,52624,"Wide Sargasso Sea is both a response and a prequel to Charlotte Brontë's Jane Eyre, set in the West Indies and imagining the lives of Bertha Mason and her family. Bidisha describes how Jean Rhys's novel portrays the racial and sexual exploitation at the heart of western civilisation and literature.",https://cdn.penguin.co.uk/dam-assets/books/9780241281901/9780241281901-jacket-large.jpg
Brave New World,Aldous Huxley,1932,63766,"The novel examines a futuristic society, called the World State, that revolves around science and efficiency. In this society, emotions and individuality are conditioned out of children at a young age, and there are no lasting relationships because “every one belongs to every one else” (a common World State dictum).",https://cdn.penguin.co.uk/dam-assets/books/9781784870140/9781784870140-jacket-large.jpg
I Capture The Castle,Dodie Smith,1948,121992,"The novel relates the adventures of an eccentric family, the Mortmains, struggling to live in genteel poverty in a decaying castle during the 1930s. The first-person narrator is Cassandra Mortmain, an intelligent teenager who tells the story through her journal. It is a coming-of-age story in which Cassandra passes from being a girl at the beginning to being a young woman at the end.",https://cdn.penguin.co.uk/dam-assets/books/9780141371504/9780141371504-jacket-large.jpg
Jane Eyre,Charlotte Bronte,1847,183858,"The novel follows the story of Jane, a seemingly plain and simple girl as she battles through life's struggles. Jane has many obstacles in her life - her cruel and abusive Aunt Reed, the grim conditions at Lowood school, her love for Rochester and Rochester's marriage to Bertha.",https://cdn.penguin.co.uk/dam-assets/books/9780141040387/9780141040387-jacket-large.jpg
Crime and Punishment,Fyodor Dostoevsky,1866,211591,"Crime and Punishment follows the mental anguish and moral dilemmas of Rodion Raskolnikov, an impoverished ex-student in Saint Petersburg who plans to kill an unscrupulous pawnbroker, an old woman who stores money and valuable objects in her flat.",https://cdn.penguin.co.uk/dam-assets/books/9780140449136/9780140449136-jacket-large.jpg
